PID,total_distance,gross_tax
0100135000,11122124222.338297,8606.08
0100136000,6784333048.004381,8768.19
0100139000,11099806289.6242,9187.07
0100140000,11089195323.948534,10030.27
0100142000,11071470831.901585,9276.29
0100143000,22124449606.03822,9766.98
0100144000,13425853134.49564,10772.29
0100147000,10724675156.577747,8300.35
0100148000,10014858562.688143,7684.54
0100150000,11069708783.009077,10846.27
0100156000,10014858562.688143,9885.57
0100157000,11137507496.172422,8487.49
0100158000,11147293412.771906,11823.3
0100159000,12510409824.872501,7657.34
0100160000,12510409824.872501,7372.29
0100161000,11181463680.422937,7680.19
0100162000,15629452535.802523,7008.9
0100166000,11213133238.838057,9583.1
0100167000,11222061673.837543,9226.24
0100168000,11231132038.453703,9924.74
0100169000,6535938096672.491,12085.5
0100170000,11249266943.016588,9245.82
0100173000,11272069339.891714,10987.71
0100174000,11281494650.704355,11774.33
0100175000,11290611600.657803,8195.9
0100176000,11299417537.11252,8593.02
0100179000,38703096645.82366,8701.82
0100179001,25980958968.149937,7576.83
0100180000,10014858562.688143,8470.08
0100182000,10014858562.688143,10075.97
0100183000,19553670976.386803,8564.74
0100184000,10014858562.688143,7610.56
0100185000,10014858562.688143,7892.35
0100197000,10014858562.688143,9755.01
0100198000,10014858562.688143,9118.53
0100199000,19514617041.90784,10432.83
0100200000,10014858562.688143,10704.83
0100201000,10014858562.688143,10882.18
0100202000,11086880168.41217,8207.87
0100203000,10014858562.688143,7200.38
0100204000,10014858562.688143,8108.86
0100205000,10014858562.688143,8492.93
0100206000,11102183742.128983,11067.13
0100207000,11111248277.54511,9625.53
0100208000,11122171564.829723,8553.85
0100218000,11206527139.505827,10675.45
0100219000,11214908713.727423,10984.45
0100220000,11223864536.139727,8487.49
0100226000,9586290433.762701,6326.72
0100241000,80539430671.31934,6809.79
0100242000,11202116822.069221,8563.65
0100243000,11331966083.39255,9771.33
0100245000,11175932480.197987,8966.21
0100248000,12510409824.872501,8962.94
0100254000,7707906238.47864,7710.66
0100255000,11288133366.804401,7309.18
0100256000,11341143921.803102,8701.82
0100258000,11355324321.008152,9289.34
0100259000,5301301257.919181,8315.58
0100260000,8293826892.823849,8400.45
0100261000,11376691905.330334,8106.69
0100262000,11347979130.76659,9760.45
0100263000,11901827305.672054,6427.9
0100268000,2801149427080.855,8601.73
0100269000,5405001659936.255,6291.9
0100270000,6535938096672.491,10303.36
0100272000,10014858562.688143,8488.57
0100275000,10400369809.245625,8185.02
0100276000,11309822792.68338,8463.55
0100277000,11313167768.695316,7802.05
0100278000,11316279422.99364,7831.42
0100280000,5414360900685.254,8759.49
0100284000,10014858562.688143,8942.27
0100295000,12778717722.97926,8582.14
0100296000,10014858562.688143,11493.63
0100297000,11443818057.51176,9904.06
0100299000,11320823280.154852,7642.11
0100300000,11313256020.271544,9095.68
0100301000,11271538275.786402,10438.27
0100302000,11297171604.446985,9394.88
0100307000,8293826892.823849,7761.79
0100319000,11050695313.767757,8571.26
0100320000,11050695313.767757,6977.34
0100328000,10014858562.688143,8845.44
0100339000,9797297792.692623,7639.94
0100346000,11010531306.028894,9238.21
0100380000,11676479666.848305,8758.4
0100381000,11688893960.324968,10613.44
0100443000,11487860768.562761,7985.92
0100444000,11478378749.09304,7667.13
0100445010,21247027595.626244,8391.74
0100446000,11420536194.745844,6509.5
0100447000,13425853134.49564,10653.7
0100448000,11436336383.599302,9110.91
0100449000,12326697127.390865,8546.24
0100450000,372264819346.9126,8309.06
0100451000,11402790820.448431,8092.54
0100452000,11403964900.808891,7731.33
0100453000,11399359454.899637,6173.31
0100472000,13354276142.512087,7802.05
0100530000,13222292704.121916,11363.07
0100548000,12666341705.224394,8998.85
0100548001,12666341705.224394,8355.84
0100548002,12643708110.878853,7265.66
0100551000,12579579425.263487,9352.45
0100585000,16232941359.780985,8219.84
0100585001,12362539817.348248,9194.69
0100613000,12465409507.6301,7807.49
0100614000,12456322227.970652,9928.0
0100615000,12446050455.196327,8383.04
0100617000,12426893619.700674,10211.97
0100619000,13746181697.787176,9786.56
0100620000,12395349256.5193,11503.42
0100627000,52098588910.08221,12983.1
0100627001,12340918479.28204,9992.19
0100635000,10014858562.688143,11562.17
0100640000,10014858562.688143,9727.81
0100644010,12295076688.464664,8358.02
0100644020,9286347786.312937,7795.52
0100645000,12300670365.998508,9306.75
0100646000,162928623510.52985,10489.41
0100647000,12309515006.293238,8498.37
0100648000,12313753512.594398,8313.41
0100649000,18822473974.019726,8256.83
0100650000,12322606082.274542,9466.69
0100652000,12331071917.250574,8946.62
0100660000,31447398393.48353,9553.73
0100661000,5118369740942.923,12268.29
0100665000,9286347786.312937,10327.3
0100666000,21206747369.041286,8383.04
0100681000,5301301257.919181,11926.66
0100683000,27163330863.757626,8043.58
0100684000,12272231617.202782,12987.45
0100687000,12246315727.0865,14822.91
0100688000,10014858562.688143,13971.01
0100692000,12189343044.834455,9796.35
0100693000,35240175500.724525,12192.13
0100694000,13314883129.752722,6613.95
0100694001,13314883129.752722,7197.12
0100698000,12196329302.22715,11830.91
0100699000,5211190931830.588,12023.49
0100717000,12244545554.695847,13704.45
0100720000,12266882717.023771,8961.85
0100726000,12299954735.755651,7263.49
0100731000,12139811654.482668,9524.35
0100743020,12010668435.63572,7712.83
0100747000,6985265343.743354,9949.76
0100754000,16381706156.410173,10325.12
0100760000,15793949720.905785,7019.78
0100772000,11994861301.080557,7410.37
0100791000,11916138051.818731,8323.2
0100792000,11927747731.596365,8749.7
0100794000,348336716923.0116,10016.13
0100798000,12036001115.200216,6889.22
0100799000,12029239670.40551,6794.56
0100801000,11994861301.080557,7920.64
0100802000,11987794225.427597,7798.78
0100803000,11975830107.620134,9941.05
0100807000,11932312598.336136,9288.25
0100813000,11994861301.080557,9082.62
0100815000,11994861301.080557,8982.53
0100816000,12012039803.863419,6731.45
0100840000,10014858562.688143,5022.21
0100841000,11414565320.074419,8220.93
0100842000,11901827305.672054,8176.32
0100843000,11890143874.873663,9089.15
0100851000,11961141315.387566,8878.08
0100852000,4851211751.306205,8475.52
0100853000,16887707121.596464,9034.75
0100854000,11990431620.369003,10559.04
0100873001,11962084731.604862,9596.16
0100873002,11946652137.58556,11055.17
0100873003,11931628833.838125,9521.09
0100873004,28693385812.085564,11106.3
0100873005,11900244413.061768,10220.67
0100873006,11886201075.365316,12024.58
0100886000,17916455793.792583,9966.08
0100890000,6985265343.743354,9579.84
0100891000,12253329752.29936,8070.78
0100921000,12278160015.561298,11130.24
0100923000,16545065302.014956,9785.47
0100926000,12345421910.433931,10784.25
0100938000,12412003789.869286,6700.99
0100939000,12420554018.070208,7408.19
0100944000,12464679312.358044,6798.91
0100950000,12425803716.265343,7881.47
0100951000,10014858562.688143,9131.58
0100952000,12379065195.45108,7889.09
0100953000,12394559858.701756,7422.33
0100954000,12383674433.837973,7212.35
0100957000,12386110563.039646,10281.6
0100958000,8849122568.927757,8911.81
0100959000,12728135368.692541,11618.75
0100961000,4851211751.306205,8206.78
0100962000,12444455885.408615,9053.25
0100963000,5356188253673.705,7715.01
0100970050,12507906272.07439,7574.65
0100973000,12540286036.286821,7076.35
0100974000,7707906238.47864,9465.6
0100980000,12606561781.522583,10189.12
0100981000,12617217417.145172,9072.83
0100982000,13338536200.965874,8610.43
0100983000,12638648175.581947,8924.86
0100984000,12648672743.73589,9063.04
0100985000,12659403639.920412,11396.8
0100986000,15498885711.894125,8831.3
0100987000,12680239108.656708,8939.01
0100988000,13789897089.67822,9300.22
0100989000,10014858562.688143,9256.7
0101011000,12487485892.386904,9700.61
0101012000,5301301257.919181,10790.78
0101013000,33737423519.738853,8482.05
0101014000,12522117565.27596,10416.51
0101015000,7913446802.960082,8489.66
0101016000,33737423519.738853,9826.82
0101017000,13310811032.157438,8939.01
0101018000,12556310376.768995,9780.03
0101028000,8598337563.717592,8992.32
0101029000,12697484197.491198,8286.21
0101030000,12706873102.496746,10161.92
0101031000,11994861301.080557,8022.91
0101032000,12724066958.218962,8116.48
0101042000,12609982428.228378,9349.18
0101059000,12835191335.86905,11080.19
0101062000,6535938096672.491,8945.54
0101063000,19935680016.98179,11416.38
0101064000,10014858562.688143,9703.87
0101065000,20822836885.00271,10399.1
0101066000,12924500569.26036,10165.18
0101073000,5301301257.919181,9679.94
0101074000,12898777325.246294,9264.32
0101075000,31288952454.06371,10072.7
0101076000,18386445913.91542,9759.36
0101077000,12864095461.295376,9163.14
0101078000,12853015229.99246,9596.16
0101079000,12841350738.644896,9422.08
0101080000,12829704320.902323,9992.19
0101093000,7587300994.616806,12972.22
0101098000,12278937252.037107,9733.25
0101142000,12097962602.074438,10759.23
0101158000,12243614759.552101,12207.36
0101163000,12160894628.122234,9476.48
0101173000,6105116580.57948,8954.24
0101180000,12099430345.814415,12456.51
0101181000,12119347887.604733,13529.28
0101183000,7707906238.47864,12877.57
0101184000,367348951235.77606,9503.68
0101187000,12184134163.919296,10742.91
0101201000,9855382326.710049,14053.7
0101209000,13404489266.018173,10547.07
0101210000,13412081233.87463,9700.61
0101211000,25198493625.48796,10189.12
0101212000,35156544920.45776,9950.85
0101214000,25429745632.479355,8162.18
0101216000,124919218686.27223,9463.42
0101217000,13456625752.972427,9126.14
0101218000,13462052861.938427,8623.49
0101219000,28828043604.160683,12669.76
0101220000,13475756767.807133,9494.98
0101225000,13436302891.094097,11140.03
0101226000,13418813431.99469,10822.34
0101229000,13395469847.280891,11917.95
0101236000,6985265343.743354,12640.38
0101237000,13390864877.529848,13856.77
0101238000,10014858562.688143,14773.95
0101239000,10014858562.688143,12093.12
0101240000,7913446802.960082,14201.66
0101241000,7913446802.960082,14618.37
0101242000,6985265343.743354,14027.58
0101250000,9797297792.692623,11376.13
0101265000,6535938096672.491,10679.81
0101266000,13485604212.161787,9406.85
0101268000,13496157896.18241,9462.33
0101271000,13514779482.088879,9351.36
0101277000,13552579493.704643,8474.43
0101278000,13555897440.623772,10387.13
0101279000,13523393729.559704,10123.84
0101280000,13516107601.527824,8598.46
0101281000,13509808427.716623,10880.0
0101282000,9797297792.692623,9671.23
0101286000,7111606786.975382,8804.1
0101287000,6985265343.743354,9461.25
0101288000,13466895153.651293,8698.56
0101292000,10014858562.688143,14043.9
0101320000,13534376680.058977,10594.94
0101321000,10014858562.688143,10634.11
0101322000,10014858562.688143,9296.96
0101323000,29887269845.23412,9930.18
0101324000,13581834004.865526,9020.61
0101329000,13563395997.53421,12624.06
0101336000,13482143587.551367,11772.16
0101337000,13471965742.812466,12048.51
0101340000,18438455713.240234,12701.31
0101341000,13443537979.212645,11205.31
0101357000,6535938096672.491,11830.91
0101367001,12828168303.909227,10693.95
0101371000,13609741925.368696,10806.01
0101372000,13604804579.496822,10032.45
0101373000,13598389777.794088,11571.97
0101374000,13593771523.581177,10090.11
0101375000,13589016457.686377,10891.97
0101376000,13585590585.850824,11232.51
0101377000,13580549655.447659,10147.77
0101378000,13575570924.12477,9391.61
0101379000,10014858562.688143,11177.02
0101380000,13563484929.640484,9819.2
0101385000,13494372077.90708,9648.38
0101386000,13481738105.932016,11449.02
0101387000,10710713847.00922,13366.08
0101388000,13457417772.123405,11818.94
0101429000,7111606786.975382,8615.87
