PID,total_distance,gross_tax
0100847000,11923242985.598059,5407.36
0100858000,12047345320.840563,7369.02
0100859000,12058660904.588541,9477.57
0100860000,12070773419.71447,7039.36
0100861000,12079815508.321217,6818.49
0100862000,11994861301.080557,6599.81
0100868000,12075310191.13688,6177.66
0100872000,12002390357.952702,7184.06
0100878000,15169419149.460083,6620.48
0100880000,12150923348.686304,6640.06
0100884000,34339413691.18949,6603.07
0100885000,22671135880.40229,6828.29
0100887000,12218003135.320515,7784.64
0100888000,10014858562.688143,6748.86
0100894000,12280283006.906328,6816.32
0100895000,12287544465.945984,7671.49
0100901000,12239220271.057669,6228.8
0100902000,12230175301.119614,5800.13
0100903000,12221851301.899323,7055.68
0100903010,12224478194.954428,15277.7
0100904000,12206358703.492228,7328.77
0100905000,12188146229.732204,7779.2
0100906000,12438267992.448723,11048.64
0100908000,12438267992.448723,8569.09
0100909000,15087072125.699219,6937.09
0100913000,12118953936.14315,6705.34
0100914000,13237947192.36228,6190.72
0100919000,12257512592.549967,8581.05
0100922000,12289636632.299572,6637.89
0100936000,12373056084.16349,6949.05
0100940000,12429995597.642315,6470.33
0100942000,12446526441.888865,5880.64
0100945000,10014858562.688143,7406.01
0100947000,11385356811.639717,6512.77
0100960000,6535938096672.491,9200.13
0100978000,12585858302.004032,6302.78
0101009000,12462783521.86531,8402.62
0101010000,12464748344.391058,5702.21
0101021000,10014858562.688143,7873.86
0101022000,12570763194.934761,6700.99
0101025000,6076076228.37176,6988.22
0101035000,12660558697.747036,7357.05
0101043000,12593606885.612293,9222.98
0101046000,12555175245.49997,6146.11
0101047000,12525855415.363455,5552.06
0101049000,12528274755.417934,7428.86
